NIM,Rerata
106,75
29,51.7
23,68.3
72,75
80,73.3
107,80
86,76.7
113,68.3
68,78.3
25,78.3
83,81.7
78,81.7
50,78.3
8,78.3
99,100
64,48.3
102,70
89,53.3
75,73.3
52,78.3
84,70
17,43.3
114,78.3
47,78.3
58,78.3
41,78.3
46,75
12,86.7
81,76.7
49,91.7
18,88.3
43,83.3
74,78.3
65,73.3
34,73.3
5,73.3
120,100
122,78.3
40,73.3
91,91.7
53,81.7
62,76.7
115,70
51,78.3
97,70
73,65
14,78.3
16,78.3
88,91.7
96,70
125,70
39,70
105,65
13,81.7
90,78.3
77,68.3
100,81.7
69,78.3
54,81.7
55,70
28,70
118,55
63,70
93,75
48,81.7
11,75
22,55
60,75
42,78.3
24,68.3
32,78.3
35,70
44,81.7
121,80
20,73.3
57,91.7
71,70
108,88.3
94,55
98,78.3
92,75
85,81.7
82,75
36,78.3
4,21.7
30,70
104,70
103,75
10,78.3
37,75
112,83.3
31,86.7
1,95
110,78.3
124,73.3
109,75
38,75
123,75
21,75
45,53.3
33,70
119,75
56,75
26,75
27,71.7
3,75
2,75
19,75
101,60
95,70
9,70
87,95
111,75
70,65
76,70
66,81.7
79,65
