NIM,Nilai
I0320077,94.7
I0320054,94.7
I0320106,89.5
I0320064,94.7
I0320051,94.7
I0320080,78.9
I0320076,94.7
I0320079,94.7
I0320068,94.7
I0320056,94.7
I0320074,78.9
I0320029,78.9
I0320102,94.7
I0320040,94.7
I0320053,94.7
I0320058,94.7
I0320114,94.7
I0320037,78.9
I0320093,89.5
I0320018,94.7
I0320089,94.7
I0320035,94.7
I0320090,94.7
I0320027,73.7
I0320112,94.7
I0320122,94.7
I0320094,94.7
I0320108,94.7
I0320046,78.9
I0320075,78.9
I0320086,78.9
I0320115,94.7
I0320105,94.7
I0320096,94.7
I0320107,73.7
I0320088,94.7
I0320091,94.7
I0320097,94.7
I0320081,94.7
I0320024,94.7
I0320014,78.9
I0320100,94.7
I0320041,94.7
I0320050,94.7
I0320039,94.7
I0320025,68.4
I0320099,94.7
i0320020,94.7
I0320119,94.7
I0320001,94.7
I0320092,94.7
I0320048,89.5
I0320101,94.7
I0320023,89.5
I0320121,94.7
I0320123,89.5
I0320030,73.7
I0320104,73.7
I0320120,94.7
I0320022,94.7
I0320016,94.7
I320095,94.7
I0320036,94.7
I0320085,94.7
I0320042,94.7
I0320019,94.7
I0320082,94.7
I0320049,94.7
I0320087,94.7
I0320098,94.7
I0320043,78.9
I0320045,94.7
I0320111,94.7
I0320060,84.2
I0320002,94.7
I0320110,94.7
I0320005,78.9
I0320113,78.9
I0320072,73.7
I0320118,78.9
I0320009,94.7
I0320109,73.7
I0320038,94.7
I0320062,78.9
I0320004,68.4
I0320052,73.7
I0320017,73.7
I0320010,78.9
I0320063,94.7
I0320047,94.7
I0320124,84.2
I0320012,94.7
I0320028,94.7
I0320044,94.7
I0320011,94.7
I0320034,73.7
I0320013,94.7
I0320057,78.9
I0320008,84.2
I0320078,78.9
I0320073,68.4
I0320055,78.9
I0320021,89.5
I0320026,89.5
I0320069,78.9
I0320003,78.9
I0320032,78.9
